OID_,ORIG_FID,LINEARID,FULLNAME,RTTYP,MTFCC,Shape_Length,POINT_X,POINT_Y
224,49,1102303370984,Edward St,M,S1400,0.000959700921513,-76.896098421704778,40.296554212107253
225,49,1102303370984,Edward St,M,S1400,0.000959700921513,-76.895906848122479,40.296542361740649
226,49,1102303370984,Edward St,M,S1400,0.000959700921513,-76.895715224178218,40.296531392709653
227,49,1102303370984,Edward St,M,S1400,0.000959700921513,-76.895523630810885,40.296519864300365
228,49,1102303370984,Edward St,M,S1400,0.000959700921513,-76.895331999672010,40.296508999590685
229,50,110479900045,Vaughn St,M,S1400,0.005523091566565,-76.901550999578944,40.299902999623782
230,50,110479900045,Vaughn St,M,S1400,0.005523091566565,-76.900449491051120,40.299820281780626
231,50,110479900045,Vaughn St,M,S1400,0.005523091566565,-76.899348343151473,40.299732872174388
232,50,110479900045,Vaughn St,M,S1400,0.005523091566565,-76.898247009092131,40.299647822389147
233,50,110479900045,Vaughn St,M,S1400,0.005523091566565,-76.897145456497583,40.299571999648094
234,50,110479900045,Vaughn St,M,S1400,0.005523091566565,-76.896043000084376,40.299551999625123
235,51,110479905745,Susquehanna St,M,S1400,0.001402201118566,-76.900909999696694,40.296916000373187
236,51,110479905745,Susquehanna St,M,S1400,0.001402201118566,-76.900832827972579,40.297185613525301
237,51,110479905745,Susquehanna St,M,S1400,0.001402201118566,-76.900749686548750,40.297453317416739
238,51,110479905745,Susquehanna St,M,S1400,0.001402201118566,-76.900665424569638,40.297720238897966
239,51,110479905745,Susquehanna St,M,S1400,0.001402201118566,-76.900621986415501,40.297997203108480
240,51,110479905745,Susquehanna St,M,S1400,0.001402201118566,-76.900602999928481,40.298277000183475
241,52,1106092812375,Marie St,M,S1400,0.007330893358006,-76.894542000113177,40.291590000278347
242,52,1106092812375,Marie St,M,S1400,0.007330893358006,-76.894713019690073,40.293046169944830
243,52,1106092812375,Marie St,M,S1400,0.007330893358006,-76.894880620943866,40.294502698440851
244,52,1106092812375,Marie St,M,S1400,0.007330893358006,-76.894895583864070,40.295956868914402
245,52,1106092812375,Marie St,M,S1400,0.007330893358006,-76.894729988098447,40.297412995413481
246,52,1106092812375,Marie St,M,S1400,0.007330893358006,-76.894587000389720,40.298871999743028
247,55,1102384696981,Kemp St,M,S1400,0.000227035818364,-76.895977999784805,40.295201999572669
248,55,1102384696981,Kemp St,M,S1400,0.000227035818364,-76.895977199388199,40.295247400047515
249,55,1102384696981,Kemp St,M,S1400,0.000227035818364,-76.895976399890912,40.295292799623041
250,55,1102384696981,Kemp St,M,S1400,0.000227035818364,-76.895975599494307,40.295338200097888
251,55,1102384696981,Kemp St,M,S1400,0.000227035818364,-76.895974799996964,40.295383599673414
252,55,1102384696981,Kemp St,M,S1400,0.000227035818364,-76.895973999600358,40.295429000148317
253,57,110479900195,Bergner St,M,S1400,0.005524122509224,-76.903082000034260,40.302463999913698
254,57,110479900195,Bergner St,M,S1400,0.005524122509224,-76.901993769097146,40.302273242915874
255,57,110479900195,Bergner St,M,S1400,0.005524122509224,-76.900905405959691,40.302083241348555
256,57,110479900195,Bergner St,M,S1400,0.005524122509224,-76.899817239773768,40.301892118326634
257,57,110479900195,Bergner St,M,S1400,0.005524122509224,-76.898728662597648,40.301703363219701
